,0
pm10,1.0595629139331826
us_aqi,1.054310757701297
carbon_monoxide,0.4644625703513796
sulphur_dioxide,0.28422910285055414
nitrogen_dioxide,0.26556064144259084
apparent_temperature,0.2141966208577144
dew_point_2m,0.18520166712469388
temperature_2m,0.15996049442379734
wind_speed_10m,0.14432023614558576
vapor_pressure_deficit,0.1367163044150268
relative_humidity_2m,0.11922268263289348
ozone,0.08939484843268986
cloud_cover,0.08447615895781224
precipitation,0.05535519268468869
visibility,0.05488745488623481
wind_direction_10m,0.016262249243536697
rain,0.0
