,PC1,PC2
pm10,-0.06264801886001642,-0.24878049019049625
carbon_monoxide,-0.35475881850082114,0.10582221199706421
nitrogen_dioxide,-0.295105456224639,0.11184241648639552
sulphur_dioxide,-0.30469464680254865,0.11399610004021896
ozone,0.21399551626547164,-0.21419405577367165
us_aqi,-0.11745143113323903,-0.169556767103981
temperature_2m,0.36057997867639024,-0.21003220514617033
relative_humidity_2m,0.0198657206453364,0.4495227752832838
dew_point_2m,0.37444719354238204,0.1291195681044155
apparent_temperature,0.3896471275413356,-0.11648081964541951
precipitation,0.22644122416238407,0.3178392341850473
rain,0.07694695169918377,0.17203601208553299
cloud_cover,0.23069292829687513,0.3215706689394196
wind_speed_10m,0.15120678106073024,-0.07788441525012048
wind_direction_10m,-0.16717777790657964,-0.2029796201944777
visibility,-0.17629397316626405,-0.29419008048590367
vapor_pressure_deficit,0.12629775324501774,-0.42721566838809544
